step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
200,9e-05,1.0,0.00081,1.0,,
201,0.00025,1.0,,,,
202,0.0001,1.0,,,,
203,0.00013,1.0,,,,
204,0.0001,1.0,,,,
205,2e-05,1.0,,,,
206,7e-05,1.0,,,,
207,7e-05,1.0,,,,
208,3e-05,1.0,,,,
209,0.00039,1.0,,,,
210,0.0,1.0,0.0,1.0,,
211,0.0,1.0,,,,
212,0.0,1.0,,,,
213,0.0,1.0,,,,
214,6e-05,1.0,,,,
215,0.0,1.0,,,,
216,0.60159,0.66667,,,,
217,0.0,1.0,,,,
218,0.0,1.0,,,,
219,0.0,1.0,,,,
220,0.0,1.0,2e-05,1.0,,
221,0.0,1.0,,,,
222,0.0,1.0,,,,
223,0.0,1.0,,,,
224,0.0,1.0,,,,
225,0.0,1.0,,,,
226,0.0,1.0,,,,
227,0.0,1.0,,,,
228,3e-05,1.0,,,,
229,0.0,1.0,,,,
230,0.0,1.0,0.0,1.0,,
231,0.0,1.0,,,,
232,0.0,1.0,,,,
233,0.0,1.0,,,,
234,7e-05,1.0,,,,
235,0.0,1.0,,,,
236,1e-05,1.0,,,,
237,0.0,1.0,,,,
238,4e-05,1.0,,,,
239,0.0,1.0,,,,
240,0.0,1.0,0.0,1.0,,
241,0.0,1.0,,,,
242,0.0,1.0,,,,
243,0.0,1.0,,,,
244,0.0,1.0,,,,
245,0.0,1.0,,,,
246,0.0,1.0,,,,
247,0.0,1.0,,,,
248,0.0,1.0,,,,
249,0.0,1.0,,,,
250,0.0,1.0,0.0,1.0,,
251,0.0,1.0,,,,
252,0.0,1.0,,,,
253,0.0,1.0,,,,
254,0.0,1.0,,,,
255,0.0,1.0,,,,
256,0.0,1.0,,,,
257,2e-05,1.0,,,,
258,1.91773,0.66667,,,,
259,0.0,1.0,,,,
260,0.0,1.0,0.0,1.0,,
261,0.0,1.0,,,,
262,0.03399,1.0,,,,
263,0.0,1.0,,,,
264,2e-05,1.0,,,,
265,0.0,1.0,,,,
266,0.0,1.0,,,,
267,0.0,1.0,,,,
268,1e-05,1.0,,,,
269,1e-05,1.0,,,,
270,0.0,1.0,0.0,1.0,,
271,0.0,1.0,,,,
272,0.0,1.0,,,,
273,0.0,1.0,,,,
274,2e-05,1.0,,,,
275,0.0,1.0,,,,
276,0.0,1.0,,,,
277,0.0,1.0,,,,
